Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCBANK,EQ,3-Jan-11,2346.35,2370,2399.65,2350.4,2388.35,2390.5,2385.59,539839,1287836760,-,320859,59.44
HDFCBANK,EQ,4-Jan-11,2390.5,2386.5,2388,2333,2333,2345.55,2355.04,828413,1950944087,-,469218,56.64
HDFCBANK,EQ,5-Jan-11,2345.55,2349.7,2349.7,2297.5,2316.9,2308.2,2313.85,782592,1810802258,-,487271,62.26
HDFCBANK,EQ,6-Jan-11,2308.2,2316,2342.65,2309,2323.85,2327.75,2323.94,543509,1263083919,-,296093,54.48
HDFCBANK,EQ,7-Jan-11,2327.75,2326.2,2326.2,2261,2272.6,2269.45,2279.24,794801,1811540105,-,483459,60.83
HDFCBANK,EQ,10-Jan-11,2269.45,2256.05,2270,2138,2154.95,2152.25,2179.89,2007086,4375224213,-,1321704,65.85
HDFCBANK,EQ,11-Jan-11,2152.25,2170,2218.7,2125,2163,2146.6,2161.08,1215759,2627349856,-,600535,49.4
HDFCBANK,EQ,12-Jan-11,2146.6,2169,2214,2106.6,2208.05,2205.3,2160.27,990533,2139814373,-,399900,40.37
HDFCBANK,EQ,13-Jan-11,2205.3,2209,2217.4,2126.4,2143,2143,2157.04,948601,2046166962,-,487941,51.44
HDFCBANK,EQ,14-Jan-11,2143,2150,2208,2030,2052,2049.55,2114.87,1279141,2705221894,-,562842,44
HDFCBANK,EQ,17-Jan-11,2049.55,2060,2093,2050.55,2071.2,2068.1,2069.93,1228082,2542039509,-,749900,61.06
HDFCBANK,EQ,18-Jan-11,2068.1,2086.8,2116,2046.65,2115,2109.35,2088.08,842016,1758193662,-,386005,45.84
HDFCBANK,EQ,19-Jan-11,2109.35,2111.65,2114.05,2063,2078.3,2075.45,2081.69,899205,1871869679,-,514804,57.25
HDFCBANK,EQ,20-Jan-11,2075.45,2069.25,2134.4,2045.9,2117,2117.55,2085.05,963854,2009679540,-,533183,55.32
HDFCBANK,EQ,21-Jan-11,2117.55,2104,2124.7,2076.1,2093,2094.15,2096.48,829761,1739577669,-,409928,49.4
HDFCBANK,EQ,24-Jan-11,2094.15,2095,2154,2073,2146.1,2148.6,2113.25,1277416,2699494023,-,727890,56.98
HDFCBANK,EQ,25-Jan-11,2148.6,2151.2,2174.85,2070.1,2085.05,2084.3,2117.86,1411054,2988416659,-,677827,48.04
HDFCBANK,EQ,27-Jan-11,2084.3,2100,2100,2041,2043.8,2050.9,2075.94,1894558,3932991350,-,1028591,54.29
